yyyymm,Mkt_RF,SMB,HML,RMW,CMA,RF,LID,MOM,R_MKT,R_ME,R_IA,R_ROE,R_EG,PEAD,FIN,SMB_SY,MGMT,PERF,HML_Novy,UMD_Novy,PMU_Novy
200801,-6.36,-0.66,3.98,2.14,2.14,0.21,-12.538313,-7.75,-6.3719,-0.7217,1.3807,-0.2969,-0.8164,-2.93,3.68,-1.5625485,4.5272253,-9.1241273,0.023810226,-0.050126304,-0.004160531
200802,-3.09,-0.66,-0.84,0.88,-0.93,0.13,2.891129,6.1,-3.0844,-0.8748,-1.5137,1.7981,1.36,-0.12,1.22,0.5455276,-1.6993982,10.2623464,0.023056193,0.026875809,0.003005001
200803,-0.93,0.56,0.3,0.79,0.5,0.17,4.09467,4.27,-0.9534,0.5805,-0.353,2.3754,-0.0305,-0.61,-0.25,0.9540277,0.0620074,4.9873704,-0.009946844,0.016680302,0.004042467
200804,4.6,-1.14,-1.04,1.63,-2.47,0.18,10.817244,-0.31,4.6755,-0.9362,-2.312,-0.8075,3.3207,-0.61,-2.66,0.0459237,-1.7222807,1.9122231,0.001619004,-0.007828066,-0.003184908
200805,1.86,3.06,-1.49,0.93,-0.06,0.18,8.001028,3.31,1.942,2.5324,-0.3546,-0.3367,0.0761,1.85,-4.24,2.854831,-5.2229417,8.7702399,-0.003233582,0.015162871,0.002084564
200806,-8.44,1.15,-2.67,4.96,-0.55,0.17,9.409628,12.75,-8.4289,1.8834,-0.1934,6.3621,1.0367,3.29,-2.46,-1.1965484,-5.7946917,15.435306,-0.018742881,0.066207095,0.011451062
200807,-0.77,3.72,5.42,-1.37,1.08,0.15,-13.178885,-5.13,-0.7584,5.9805,1.8218,0.013,-0.0734,-4.74,3.48,2.9863692,6.7942585,-7.244668,-0.006930841,-0.021124339,0.011012498
200808,1.53,3.46,1.59,1.86,0.84,0.13,1.855953,-4.02,1.5211,1.8217,0.9425,-0.8718,2.079,-2.67,5.16,2.9965192,2.6488518,-0.812077,0.003992645,-0.024638533,0.005373126
200809,-9.24,0.25,5.92,2.41,1.78,0.15,-13.332696,0.28,-9.2921,0.6309,3.1596,1.5906,3.4517,1.29,9.19,0.1947471,5.7925137,-0.4028502,0.0007402,0.025205364,0.015720032
200810,-17.23,-3.34,-2.3,3.04,2.05,0.08,-8.861246,7.85,-17.1779,-3.4757,1.0558,5.8964,6.7538,1.73,5.79,-3.265002,4.464906,10.0346443,-0.027361815,0.050210083,0.048444816
